timestamp,equipment_id,temperature_c,vibration_mm_s,pressure_bar,rpm
2026-08-20T08:00:00,BRG-05-A,49.1,2.34,4.85,1750
2026-08-20T12:00:00,BRG-05-A,54.8,1.92,5.17,1750
2026-08-20T16:00:00,BRG-05-A,49.0,1.47,4.95,1750
2026-08-20T20:00:00,BRG-05-A,52.5,2.19,5.16,1750
2026-08-21T00:00:00,BRG-05-A,49.0,2.0,5.2,1750
2026-08-21T04:00:00,BRG-05-A,55.6,2.3,5.14,1750
2026-08-21T08:00:00,BRG-05-A,52.1,1.6,4.98,1750
2026-08-21T12:00:00,BRG-05-A,54.3,2.59,4.95,1750
2026-08-21T16:00:00,BRG-05-A,59.0,1.52,4.96,1750
2026-08-21T20:00:00,BRG-05-A,61.4,2.26,4.94,1750
2026-08-22T00:00:00,BRG-05-A,54.7,1.74,5.14,1750
2026-08-22T04:00:00,BRG-05-A,48.1,2.43,4.81,1750
2026-08-22T08:00:00,BRG-05-A,54.2,2.05,4.91,1750
2026-08-22T12:00:00,BRG-05-A,57.8,2.2,5.06,1750
2026-08-22T16:00:00,BRG-05-A,50.4,1.56,5.05,1750
2026-08-22T20:00:00,BRG-05-A,61.0,2.34,5.01,1750
2026-08-23T00:00:00,BRG-05-A,62.1,2.59,5.14,1750
2026-08-23T04:00:00,BRG-05-A,63.3,2.91,5.14,1750
2026-08-23T08:00:00,BRG-05-A,63.7,3.07,5.24,1750
2026-08-23T12:00:00,BRG-05-A,65.6,3.3,5.32,1750
2026-08-23T16:00:00,BRG-05-A,66.4,3.55,5.28,1750
2026-08-23T20:00:00,BRG-05-A,67.0,3.91,5.32,1750
2026-08-24T00:00:00,BRG-05-A,68.7,4.15,5.34,1750
2026-08-24T04:00:00,BRG-05-A,69.9,4.21,5.52,1750
2026-08-24T08:00:00,BRG-05-A,72.5,4.7,5.56,1750
2026-08-24T12:00:00,BRG-05-A,72.7,4.64,5.49,1750
2026-08-24T16:00:00,BRG-05-A,73.4,4.9,5.59,1750
2026-08-24T20:00:00,BRG-05-A,75.4,5.14,5.7,1750
2026-08-25T00:00:00,BRG-05-A,76.4,5.64,5.8,1750
2026-08-25T04:00:00,BRG-05-A,78.5,5.55,5.77,1750
