timestamp,equipment_id,temperature_c,vibration_mm_s,pressure_bar,rpm
2026-08-20T08:00:00,BRG-05-A,50.8,1.46,5.01,1750
2026-08-20T12:00:00,BRG-05-A,54.4,1.31,5.02,1750
2026-08-20T16:00:00,BRG-05-A,59.0,2.15,5.03,1750
2026-08-20T20:00:00,BRG-05-A,53.7,2.26,4.83,1750
2026-08-21T00:00:00,BRG-05-A,59.2,2.36,5.09,1750
2026-08-21T04:00:00,BRG-05-A,57.6,1.64,4.89,1750
2026-08-21T08:00:00,BRG-05-A,61.8,1.57,5.05,1750
2026-08-21T12:00:00,BRG-05-A,50.2,2.24,4.95,1750
2026-08-21T16:00:00,BRG-05-A,49.8,2.34,4.89,1750
2026-08-21T20:00:00,BRG-05-A,59.5,2.51,5.03,1750
2026-08-22T00:00:00,BRG-05-A,61.8,2.28,5.2,1750
2026-08-22T04:00:00,BRG-05-A,59.3,1.66,4.98,1750
2026-08-22T08:00:00,BRG-05-A,53.6,2.25,4.92,1750
2026-08-22T12:00:00,BRG-05-A,55.5,1.82,4.88,1750
2026-08-22T16:00:00,BRG-05-A,54.0,1.65,5.18,1750
2026-08-22T20:00:00,BRG-05-A,51.4,2.07,4.98,1750
2026-08-23T00:00:00,BRG-05-A,51.7,2.53,4.85,1750
2026-08-23T04:00:00,BRG-05-A,60.9,2.45,4.83,1750
2026-08-23T08:00:00,BRG-05-A,48.4,1.66,4.96,1750
2026-08-23T12:00:00,BRG-05-A,50.2,1.92,5.16,1750
2026-08-23T16:00:00,BRG-05-A,57.2,1.46,5.02,1750
2026-08-23T20:00:00,BRG-05-A,48.6,2.6,5.01,1750
2026-08-24T00:00:00,BRG-05-A,60.7,1.79,4.95,1750
2026-08-24T04:00:00,BRG-05-A,56.4,1.67,4.97,1750
2026-08-24T08:00:00,BRG-05-A,58.1,1.94,5.09,1750
2026-08-24T12:00:00,BRG-05-A,57.8,2.18,5.01,1750
2026-08-24T16:00:00,BRG-05-A,56.5,2.42,4.81,1750
2026-08-24T20:00:00,BRG-05-A,49.7,2.33,4.99,1750
2026-08-25T00:00:00,BRG-05-A,60.7,1.56,5.04,1750
2026-08-25T04:00:00,BRG-05-A,58.6,2.34,4.94,1750
