timestamp,equipment_id,temperature_c,vibration_mm_s,pressure_bar,rpm
2026-08-20T08:00:00,BRG-05-A,58.9,2.21,5.16,1750
2026-08-20T12:00:00,BRG-05-A,51.5,1.82,4.92,1750
2026-08-20T16:00:00,BRG-05-A,55.3,2.08,4.87,1750
2026-08-20T20:00:00,BRG-05-A,49.8,2.37,4.99,1750
2026-08-21T00:00:00,BRG-05-A,58.9,2.56,4.82,1750
2026-08-21T04:00:00,BRG-05-A,49.0,2.59,5.13,1750
2026-08-21T08:00:00,BRG-05-A,53.6,2.43,5.13,1750
2026-08-21T12:00:00,BRG-05-A,53.3,2.16,4.93,1750
2026-08-21T16:00:00,BRG-05-A,53.4,1.51,5.06,1750
2026-08-21T20:00:00,BRG-05-A,51.6,2.19,4.91,1750
2026-08-22T00:00:00,BRG-05-A,53.7,1.87,5.18,1750
2026-08-22T04:00:00,BRG-05-A,56.1,2.23,4.86,1750
2026-08-22T08:00:00,BRG-05-A,60.2,2.26,4.91,1750
2026-08-22T12:00:00,BRG-05-A,54.8,1.82,5.18,1750
2026-08-22T16:00:00,BRG-05-A,50.8,1.2,5.17,1750
2026-08-22T20:00:00,BRG-05-A,57.2,2.46,5.12,1750
2026-08-23T00:00:00,BRG-05-A,50.7,1.37,5.1,1750
2026-08-23T04:00:00,BRG-05-A,48.3,1.67,5.13,1750
2026-08-23T08:00:00,BRG-05-A,54.2,1.89,4.97,1750
2026-08-23T12:00:00,BRG-05-A,55.0,1.39,4.88,1750
2026-08-23T16:00:00,BRG-05-A,61.4,1.8,5.04,1750
2026-08-23T20:00:00,BRG-05-A,60.8,2.13,4.89,1750
2026-08-24T00:00:00,BRG-05-A,56.1,2.12,4.81,1750
2026-08-24T04:00:00,BRG-05-A,61.5,1.7,4.93,1750
2026-08-24T08:00:00,BRG-05-A,56.6,2.48,5.15,1750
2026-08-24T12:00:00,BRG-05-A,48.3,2.46,5.12,1750
2026-08-24T16:00:00,BRG-05-A,52.6,1.95,4.87,1750
2026-08-24T20:00:00,BRG-05-A,53.2,1.2,5.17,1750
2026-08-25T00:00:00,BRG-05-A,54.5,2.02,4.82,1750
2026-08-25T04:00:00,BRG-05-A,56.9,2.4,5.16,1750
